WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
to insulate;7;v;3;izolować;;
to overheat;7;v;2;przegrzać (się);;
to permit;7;v;2;zezwolić;;
to remind;7;v;2;przypominać;;
to require;7;v;2;wymagać;;
to threaten;7;v;2;grozić;;
to withstand;7;v;3;wytrzymać;oprzeć się (czemuś);
track;7;n;2;ścieżka;bieżnia;
visible;7;adj;2;widoczny;;
well-insulated;7;adj;2;dobrze izolowany;;
assembly;8;n;2;montaż;;
combustion engine;8;n;3;silnik spalinowy;;
congestion;8;n;3;zator;zatłoczenie;
container ship;8;n;1;kontenerowiec;;
en-route;8;adv;2;po drodze;;
fit;8;adj;1;wysportowany;sprawny fizycznie;
flat-bottomed;8;adj;2;płaskodenny;;
groove;8;n;2;bruzda;rowek;
hoistable;8;adj;3;podnoszony;;
hovercraft;8;n;3;poduszkowiec;;
hydrofoil;8;n;3;wodolot;;
internal;8;adj;2;wewnętrzny;;
jig;8;n;3;łoże montażowe;;
licence;8;n;1;licencja;;
luxurious;8;adj;2;luksusowy;;
motorway;8;n;1;autostrada;;
navigation officer;8;n;1;oficer nawigacyjny;;
ocean-going;8;adj;2;oceaniczny;transoceaniczny;
overview;8;n;2;przegląd;;
powerboat;8;n;2;łódź motorowa;;
quay;8;n;3;nabrzeże;keja;
ramp;8;n;1;rampa;;
rapid;8;adj;2;nagły;;
river craft;8;n;2;statek rzeczny;;
roll-on/roll-off;8;n;3;rorowiec;statek typu RO-RO;
seabed;8;n;2;dno morza;;
stern;8;n;3;rufa;;
surface-effect ship;8;n;3;dwukadłubowy poduszkowiec;;
to become;8;v;1;zostać, stać się ;;
to berth;8;v;3;cumować;;
to persuade;8;v;1;przekonać kogoś;namówić kogoś;
to straighten;8;v;2;wyprostować;;
to tilt;8;v;2;odchylić;przechylić;
to widen;8;v;2;poszerzyć;;
undertaking;8;n;2;przedsięwzięcie;;
unmanned;8;adj;2;bezzałogowy;;
variety;8;n;2;różnorodność;;
vessel;8;n;2;okręt;statek;
water-tight;8;adj;1;wodoszczelny;;
assistant driller;9;n;2;wiertacz pomocniczy;;
bit;9;n;2;świder;wiertło;
borehole;9;n;3;otwór wiertniczy;;
constituent;9;n;2;składnik;;
conventional;9;adj;1;konwencjonalny;;
crown block;9;n;3;wielokrążek górny stały;;
crude oil;9;n;2;ropa naftowa nieprzetworzona;;
disposal;9;n;3;usuwanie, likwidacja;;
draw works;9;n;3;wyciąg wiertniczy;;
drill string;9;n;3;przewód wiertniczy;;
drilling superintendent;9;n;2;inspektor nadzoru wiertniczego;;
fraction;9;n;1;frakcja;ułamek;
gravity platform;9;n;2;platforma stacjonarna;platforma grawitacyjna;
hollow;9;adj;2;pusty, wydrążony;;
hydrocarbon;9;n;2;weglowodór;;
jack-up rig;9;n;3;platforma samopodnośna;;
kelly;9;n;3;graniatka;;
petrol;9;n;1;benzyna;;
power plant;9;n;2;jednostka napędowa;zespół silnikowy;
rotary derrick;9;n;3;obrotowa wieża wiertnicza;;
roughneck;9;n;3;doświadczony pracownik fizyczny;;
roustabout;9;n;3;niewykwalifikowany pracownik fizyczny;;
semi-submersible ;9;adj;3;półzanurzalny;;
shallow;9;adj;2;płytki (przym.);;
sheltered waters;9;n;3;bezpieczne, osłonięte wody;;
slot;9;n;2;szczelina;otwór;
spar platform;9;n;2;platforma typu SPAR;;
square;9;adj;1;kwadratowy;;
stability;9;n;1;stabilność;równowaga;
steel;9;adj;1;stalowy;;
swivel;9;n;3;głowica płuczkowa;;
tension leg platform;9;n;3;platforma pionowo kotwiczona;;
to alter;9;v;2;zmienić;przerobić;
to condense;9;v;2;skraplać (się);;
to consist of;9;v;2;składać się z;;
