WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
cumowaæ;8;v;3;to berth;;
przekonaæ kogoœ;8;v;1;to persuade;namówiæ kogoœ;
wyprostowaæ;8;v;2;to straighten;;
odchyliæ;8;v;2;to tilt;przechyliæ;
poszerzyæ;8;v;2;to widen;;
przedsiêwziêcie;8;n;2;undertaking;;
bezza³ogowy;8;adj;2;unmanned;;
ró¿norodnoœæ;8;n;2;variety;;
okrêt;8;n;2;vessel;statek;
wodoszczelny;8;adj;1;water-tight;;
wiertacz pomocniczy;9;n;2;assistant driller;;
œwider;9;n;2;bit;wiert³o;
otwór wiertniczy;9;n;3;borehole;;
sk³adnik;9;n;2;constituent;;
konwencjonalny;9;adj;1;conventional;;
wielokr¹¿ek górny sta³y;9;n;3;crown block;;
ropa naftowa nieprzetworzona;9;n;2;crude oil;;
usuwanie, likwidacja;9;n;3;disposal;;
wyci¹g wiertniczy;9;n;3;draw works;;
przewód wiertniczy;9;n;3;drill string;;
inspektor nadzoru wiertniczego;9;n;2;drilling superintendent;;
